Neo Reference ID,Absolute Magnitude,Est Dia in KM(min),Est Dia in KM(max),Relative Velocity km per sec,Miss Dist.(Astronomical),Orbit ID,Orbit Determination Date,Orbit Uncertainity,Minimum Orbit Intersection,Inclination,Perihelion Distance,Aphelion Dist
2423100,18.4,0.5553349116,1.2417666126,39.1937237768,0.4547737025,27,1491470466.0,0,0.287702,19.47848327654851,0.3908060139959959,4.431997926142995
3346474,21.6,0.1272198785,0.2844722965,9.9149586636,0.1524954144,15,1491469680.0,6,0.100461,11.10957231829545,1.099951002067865,3.631894186362425
3748270,21.3,0.1460679643,0.3266178974,25.4807017604,0.2152499155,37,1502345984.0,3,0.00531978,22.4562587798938,0.8170439887632035,4.435136445656013
3655366,23.6,0.0506471459,0.1132504611,11.0459958118,0.1211814965,12,1491468195.0,7,0.00578825,7.278283507077587,0.6172514824275506,1.537551073033746
3644175,21.7,0.1214940408,0.2716689341,16.8954466897,0.2920140023,13,1498285122.0,0,0.206887,28.30152700083529,0.4833353724468614,1.223822869834078
2138859,19.0,0.4212646106,0.9419763057,25.0511830819,0.3739942136,63,1502950804.0,0,0.140456,13.15019648542084,0.7366603792875208,2.410047962505454
3713934,23.6,0.0506471459,0.1132504611,13.4769882003,0.4322789704,6,1491467702.0,8,0.18158,22.63812845923396,1.068098380976184,1.603291236520835
3715435,23.9,0.04411182,0.0986370281,14.0482967922,0.3373906929,7,1491467676.0,6,0.0381249,5.616889274054556,0.9553884819711618,1.389872534408234
2474451,21.7,0.1214940408,0.2716689341,7.9892306661,0.2178352313,41,1491470348.0,0,0.0700776,14.08477994097692,0.9219626175108202,1.633246858103216
3461189,18.3,0.5815070396,1.30028927,21.9450477723,0.1914135479,27,1491469232.0,0,0.031732,5.852198107099878,0.7953578692632357,4.549561175015823
3738546,25.9,0.0175612318,0.0392681082,3.3252891234,0.0227621694,14,1502345971.0,5,0.0211616,4.695938898404352,0.9643333368782792,1.224133766057717
3309092,23.1,0.063760979,0.1425738833,14.2666666027,0.4209216968,25,1491469776.0,1,0.00449776,3.280906410035641,0.595692452257927,1.044182238696353
3725976,25.6,0.0201629919,0.0450858206,10.327968826,0.0635760185,4,1491467549.0,8,0.051126,7.532973464918761,0.963867592045236,2.677700181991387
3762164,24.0,0.0421264611,0.0941976306,6.2131299462,0.443840867,9,1493101033.0,4,0.0824436,14.50256525174359,0.9509396650141578,1.351051415738831
3443812,21.4,0.1394938229,0.3119176705,6.8236672868,0.2705386233,19,1491469303.0,5,0.270112,10.98597523353314,1.248723091706166,4.757990681064535
2365014,20.2,0.2424124811,0.5420507863,11.6229811149,0.3518893935,52,1491470561.0,1,0.0320976,6.648499539634175,0.4170999595562438,1.678409014200785
2190119,17.1,1.0105434154,2.2596437711,39.6291727178,0.351214691,50,1491470743.0,0,0.299212,29.93974535303317,0.269899885873121,4.662158117853311
3124996,20.3,0.2315021222,0.5176544822,16.3060838197,0.4496436672,18,1492841824.0,1,0.0196539,4.314709067006513,0.5349911585956775,1.00521334856846
2141526,19.9,0.2783267681,0.6223575734,21.1414637695,0.3721854559,34,1491470852.0,1,0.315195,30.09730112914286,0.6870395081594407,1.341284741589861
3600106,28.6,0.0050647146,0.0113250461,9.8741431619,0.1466999837,8,1491468642.0,6,0.00220111,1.990548431564578,0.905713006375406,1.446664836478604
3558387,20.6,0.2016299194,0.4508582062,11.4207945569,0.3599695685,26,1491468853.0,1,0.0439084,20.11205823947074,0.8021016114934914,1.957728019485197
3358223,22.7,0.0766575574,0.1714115092,9.1245290808,0.2777142418,11,1491469660.0,6,0.0758499,14.56422880798156,0.5558979504550221,1.228977059186815
3127389,22.4,0.0880146521,0.1968067451,13.8301558655,0.3402810171,20,1491470106.0,2,0.0328365,11.17416757818649,0.9129651830256208,1.119929954600811
3437790,24.4,0.0350392641,0.0783501764,10.6129274065,0.0146493386,16,1491469335.0,8,0.0108651,3.576146723502879,0.8792354784855813,2.821843475815324
3449054,22.0,0.1058168859,0.2366137501,3.5215200827,0.4405733776,70,1497680227.0,0,0.0127543,7.916406626736255,1.01198646774804,1.909721485465221
3589298,21.1,0.160160338,0.358129403,28.8787784037,0.4597247452,5,1491468712.0,8,0.0453591,26.5776812715279,0.6707928497785951,1.621010823191524
3729277,20.0,0.2658,0.5943468684,18.8971365136,0.3094099476,55,1491467492.0,3,0.14384,31.8614192398686,0.7387363648103472,1.658877197113296
3699887,20.8,0.1838886721,0.411187571,4.9444912916,0.3130605908,8,1491467823.0,6,0.27424,7.81345294115447,1.253305807388107,3.843481173734452
3607529,22.2,0.096506147,0.2157943048,10.3525291094,0.1500866417,15,1491468559.0,6,0.0171954,6.791532969539571,0.8418509352759783,3.205305941302556
3780786,21.378,0.1409142705,0.3150938878,13.9409246161,0.4587318162,6,1504160285.0,4,0.239149,24.60649083154923,0.7610618748364794,1.437665852697939
3667139,23.6,0.0506471459,0.1132504611,16.3328562449,0.3123768,13,1491468098.0,7,0.0530552,21.32525707005096,0.6303834431278893,1.245442834331248
3752515,24.4,0.0350392641,0.0783501764,12.7873924686,0.340525631,13,1491467179.0,6,0.0485253,3.669592301060391,1.041839342784434,1.620305320514025
3389195,22.7,0.0766575574,0.1714115092,5.2471566852,0.0345511514,10,1491469536.0,1,0.000760421,8.217600030768402,0.798012270477291,1.017393815127303
3550466,25.6,0.0201629919,0.0450858206,4.8001764695,0.0598653879,20,1491468955.0,6,0.00457185,4.63588385583856,0.9345724990069396,1.274842735267439
3576729,26.0,0.0167708462,0.0375007522,5.5117538886,0.0741216733,5,1491468783.0,5,0.0240657,4.910556156897652,0.7206889064191268,1.182239135595104
2484795,18.7,0.4836764882,1.0815335068,7.3396854001,0.4968273093,84,1495952450.0,0,0.143378,20.06188686785353,0.7934530421710616,1.397615900343703
3605760,20.8,0.1838886721,0.411187571,24.8050944567,0.3630135463,30,1491468574.0,2,0.110815,11.64738259884765,0.4637016473805977,1.330726720586057
2152680,19.4,0.3503926411,0.7835017643,20.1144513725,0.0832189641,28,1491470834.0,0,0.00539934,10.93037626309689,0.5215224608699002,2.374080790077718
2477248,19.8,0.2914439045,0.6516883822,16.9161389933,0.3273585028,25,1491470341.0,1,0.0693314,24.93678627031341,1.064896577629499,1.886553842748209
3759293,23.6,0.0506471459,0.1132504611,12.2621988913,0.1561550557,5,1491467039.0,6,0.00828972,5.152429791312739,0.4417024170361388,1.408277086899451
2368790,19.8,0.2914439045,0.6516883822,15.4208753122,0.4712480228,41,1501222767.0,0,0.221126,25.45743180458256,1.202008457579032,2.020327739421897
3711174,21.8,0.1160259082,0.2594418179,3.6558717778,0.3235575539,10,1491467730.0,5,0.229674,5.671502216917117,1.222974402500667,1.358183751001485
3399920,20.6,0.2016299194,0.4508582062,38.3208697077,0.4493071218,15,1491469485.0,7,0.0213337,34.09358843219908,0.6212094320407764,3.816743600929029
3548082,23.9,0.04411182,0.0986370281,10.6766634861,0.002864044,20,1491468985.0,6,0.000568461,6.925800701871786,0.9250068434036852,3.298091309088322
3720000,25.1,0.0253837029,0.0567596853,15.6128428247,0.3388776285,8,1491467609.0,2,0.132242,14.83781282138385,0.7802913101702832,1.203267322518588
3691712,25.0,0.02658,0.0594346868,4.2179620853,0.2473264304,16,1491467899.0,4,0.0448509,2.294234819308754,1.041219117101804,1.294439980735288
3617711,23.0,0.0667659413,0.1492931834,12.3339480307,0.234287092,8,1491468481.0,7,0.235744,21.51812240276276,1.223839558769604,4.016840540176977
3114028,20.8,0.1838886721,0.411187571,28.5994902549,0.1764953322,21,1491470127.0,7,0.0614894,6.117154569275458,0.4027934791122789,2.245218361415051
3285073,20.1,0.2538370294,0.5675968529,12.8686353738,0.2948866831,41,1491469844.0,2,0.127091,12.52256077183729,0.6636747823856279,1.28790949677828
3591611,21.1,0.160160338,0.358129403,14.2519115825,0.3754473905,29,1491468704.0,0,0.0251613,28.05590626610807,0.8164137549006482,1.512672274161927
3775199,19.313,0.3647161348,0.8155300698,10.9936656324,0.466971257,3,1499062789.0,5,0.377881,20.29744738263527,1.202476204063507,2.444817010279727
3742058,20.6,0.2016299194,0.4508582062,8.6515906673,0.1843310983,5,1491467325.0,4,0.0798524,5.842845803359244,0.8080912838148799,1.753467197487377
3626612,21.2,0.1529519353,0.3420109247,5.4645156092,0.2812777984,6,1491468411.0,8,0.271055,12.10828283197668,1.165855826800188,3.725869594905765
3736502,21.4,0.1394938229,0.3119176705,16.8927234469,0.2745979427,17,1491467396.0,6,0.021474,8.06125106528225,0.9481539943110529,3.552486129408069
2382875,21.7,0.1214940408,0.2716689341,7.5148753568,0.4991803786,39,1491470532.0,0,0.072723,2.883848267500705,1.064042018598494,1.533383689169977
3690050,20.9,0.1756123185,0.3926810818,3.0431044881,0.2636309157,42,1491467914.0,4,0.238887,6.328351726892666,1.209420650286614,2.525048000045584
2482796,19.5,0.3346223745,0.7482383761,15.0937695882,0.3286281992,78,1506408715.0,1,0.0242684,18.14805013584654,0.5515255228451419,1.367558869081466
3182823,24.1,0.040230458,0.0899580388,9.509879717,0.0391035086,15,1491469966.0,6,0.00335624,1.914256662040002,0.4920016594066053,1.168257113896734
3761485,24.6,0.0319561887,0.0714562102,11.2828530869,0.315093975,12,1491466969.0,5,0.0438514,13.99910315439793,0.8349902476605214,1.074869325105879
3751828,24.8,0.0291443905,0.0651688382,13.6830398064,0.0344192776,6,1491467191.0,7,0.0187724,25.28470094520837,0.8616722205245759,1.200136067317508
3734189,20.6,0.2016299194,0.4508582062,25.2998669331,0.1789171052,49,1491467444.0,2,0.044003,14.02720313584155,0.380993076054915,1.523288707090932
3589591,23.9,0.04411182,0.0986370281,13.3240564656,0.4013868675,20,1491468709.0,4,0.0180031,13.75094367481702,0.6308343003382286,1.312584139672719
3478253,25.0,0.02658,0.0594346868,9.6711906471,0.0124538434,6,1491469141.0,8,0.0108385,5.407510160007707,0.9644044463972256,3.874771564516208
3397572,21.0,0.1677084622,0.3750075218,13.8587859188,0.0759106494,39,1491469498.0,0,0.0104373,3.338522851083671,0.7778493592843151,3.317935711292562
3426411,23.3,0.058150704,0.130028927,6.9015931022,0.0698906835,16,1491469382.0,6,0.0660612,2.727321815056803,1.060325288374639,3.5748640007899
3444212,21.2,0.1529519353,0.3420109247,9.3248386364,0.3798669768,24,1491469302.0,1,0.205411,16.52099058181097,1.093439023977108,1.508876716338424
3514800,20.8,0.1838886721,0.411187571,25.3512554859,0.3193297306,13,1491469078.0,6,0.12919,42.46097712375004,1.140996215434586,6.065787869090591
3655548,20.8,0.1838886721,0.411187571,16.5599914871,0.0613635359,8,1491468191.0,8,0.0582152,4.10787317083221,0.7623386735713709,4.240409361556384
2302169,19.9,0.2783267681,0.6223575734,30.7308686971,0.422351745,22,1491470647.0,0,0.026816,25.39730481828331,0.177298227770601,1.416259867456767
3580055,25.5,0.0211132445,0.0472106499,13.7600936819,0.2467490009,4,1491468757.0,9,0.0538274,25.50125700934285,0.9938541552903636,1.331290536741608
